bit_length,sample_index,N,p_true,q_true,factor1,factor2,time_s,success
16,0,41347,173,239,173,239,1.1e-05,True
16,1,25021,131,191,131,191,6e-06,True
16,2,39203,197,199,197,199,1.3e-05,True
16,3,48319,211,229,211,229,1.2e-05,True
16,4,28891,173,167,167,173,1e-05,True
16,5,32111,197,163,163,197,1e-05,True
16,6,38911,167,233,167,233,1e-05,True
16,7,20711,149,139,139,149,9e-06,True
20,0,463027,773,599,599,773,4.2e-05,True
20,1,558487,547,1021,547,1021,7.8e-05,True
20,2,546773,853,641,641,853,0.000127,True
20,3,667169,941,709,709,941,4.7e-05,True
20,4,678751,839,809,809,839,6.1e-05,True
20,5,405193,613,661,613,661,4.3e-05,True
20,6,750583,773,971,773,971,5.6e-05,True
20,7,404471,641,631,631,641,4.5e-05,True
24,0,11704829,3313,3533,3533,3313,0.000114,True
24,1,11753081,2999,3919,2999,3919,0.000125,True
24,2,12115057,3529,3433,3433,3529,0.000138,True
24,3,7386299,2753,2683,2683,2753,0.000103,True
24,4,10174259,3677,2767,2767,3677,8.9e-05,True
24,5,14280517,3761,3797,3797,3761,0.00011,True
24,6,12331169,3613,3413,3413,3613,0.000114,True
24,7,9065909,2591,3499,2591,3499,0.00013,True
28,0,141118223,10039,14057,14057,10039,0.000168,True
28,1,137422393,14251,9643,9643,14251,0.000192,True
28,2,148285259,13267,11177,13267,11177,0.000122,True
28,3,146585161,9161,16001,9161,16001,0.000126,True
28,4,96249137,10463,9199,9199,10463,0.000106,True
28,5,182641153,15749,11597,11597,15749,0.000118,True
28,6,185625031,15137,12263,15137,12263,0.000136,True
28,7,195445699,14207,13757,14207,13757,0.000151,True
32,0,2223182903,35423,62761,35423,62761,0.000365,True
32,1,1863293699,51431,36229,51431,36229,0.0003,True
32,2,2918726513,51503,56671,56671,51503,0.000282,True
32,3,1234882021,33863,36467,33863,36467,0.000214,True
32,4,2499297161,45841,54521,54521,45841,0.000296,True
32,5,2074064869,34763,59663,59663,34763,0.000133,True
32,6,4081075919,63113,64663,64663,63113,0.000485,True
32,7,1642106969,43651,37619,37619,43651,0.000354,True
36,0,33950222939,158537,214147,214147,158537,0.000752,True
36,1,47082302041,227663,206807,206807,227663,0.000466,True
36,2,34075160879,192377,177127,192377,177127,0.0007,True
36,3,45141976193,219433,205721,205721,219433,0.001012,True
36,4,28108161971,195319,143909,143909,195319,0.000169,True
36,5,46234163233,211723,218371,211723,218371,0.000593,True
36,6,25789426151,138113,186727,186727,138113,0.000122,True
36,7,21215528291,150881,140611,140611,150881,0.000356,True
